ID_Cliente,Ingreso_Mensual,DTI_Porcentaje,Antigüedad_Laboral_Meses,Puntualidad_Histórica,Default,Ingreso_Real,DTI_Estresado,Riesgo_2026
1,39967.14153011233,0.20048954935544186,61,25.382107815669485,0,37968.784453606706,0.2044993403425507,Riesgo Controlado (Aprobado)
2,33617.35698828816,0.16274070420064016,7,24.580743930615302,0,31936.48913887375,0.16599551828465298,Riesgo Controlado (Aprobado)
3,41476.88538100693,0.481858149726182,42,40.27643984622519,0,39403.041111956576,0.4914953127207057,Riesgo Controlado (Aprobado)
4,50230.29856408025,0.5238854358921406,19,89.46427975776345,0,47718.783635876236,0.5343631446099835,Riesgo Controlado (Aprobado)
5,32658.46625276664,0.11895168689538523,96,0.04427814372078842,0,31025.542940128307,0.12133072063329293,Riesgo Controlado (Aprobado)
6,32658.630430508194,0.6617273477462139,89,90.1383096641935,0,31025.698908982784,0.6749618947011382,Alto Riesgo (Rechazo)
7,50792.128155073915,0.13118277019088345,38,15.380702464160779,0,48252.521747320214,0.13380642559470113,Riesgo Controlado (Aprobado)
8,42674.34729152909,0.42477780118064223,84,99.00863760674821,0,40540.629926952635,0.4332733572042551,Riesgo Controlado (Aprobado)
9,30305.25614065048,0.5254363116705498,116,95.48469930384681,0,28789.993333617953,0.5359450379039609,Riesgo Controlado (Aprobado)
10,40425.60043585965,0.6225814742476513,48,49.467518959128334,1,38404.320414066664,0.6350331037326044,Alto Riesgo (Rechazo)
11,30365.823071875377,0.5284521592794567,63,51.272024781262814,1,28847.531918281606,0.5390212024650458,Riesgo Controlado (Aprobado)
12,30342.702464297432,0.5810368498418751,61,48.154934027585426,1,28825.56734108256,0.5926575868387126,Alto Riesgo (Rechazo)
13,37419.62271566034,0.3036701155256836,105,63.54436456595226,0,35548.64157987732,0.3097435178361973,Riesgo Controlado (Aprobado)
14,15867.197553422022,0.5888950682479073,106,9.072170223493103,1,15073.83767575092,0.6006729696128654,Alto Riesgo (Rechazo)
15,17750.821674869672,0.1480689078308051,53,3.2617948341566505,0,16863.28059112619,0.1510302859874212,Alto Riesgo (Rechazo)
16,29377.124707590272,0.6368899936363165,104,5.770292841589885,1,27908.26847221076,0.6496277935090429,Alto Riesgo (Rechazo)
17,24871.688796655762,0.4285554256922417,8,44.43653492415144,0,23628.104356822972,0.43712653420608655,Alto Riesgo (Rechazo)
18,38142.47332595274,0.5903786619774962,87,27.554793921948338,1,36235.349659655105,0.6021862352170462,Alto Riesgo (Rechazo)
19,25919.759244787892,0.37139097071098004,36,62.203956237099376,0,24623.771282548496,0.37881879012519964,Alto Riesgo (Rechazo)
